,Year,CountryCode,CountryName,TotalRainfall,StationCount,AverageRainfall
398,1909,HU,Hungary,3022.1000000000004,5,604.4200000000001
399,2018,AO,Angola,323.5,2,161.75
400,1992,EC,Ecuador,7754.099999999999,4,1938.5249999999999
401,1975,RI,Serbia,1885.2000000000003,3,628.4000000000001
402,1967,BK,Bosnia and Herzegovina,1658.0999999999995,2,829.0499999999997
403,1940,EG,Egypt,135.1,8,16.8875
404,1955,RI,Serbia,2579.2000000000003,3,859.7333333333335
405,1952,IC,Iceland,5613.1,7,801.8714285714286
406,1952,NH,Vanuatu,5862.699999999999,2,2931.3499999999995
407,2023,CS,Costa Rica,3469.7999999999993,3,1156.5999999999997
408,2001,WI,Western Sahara,1.3,1,1.3
409,1993,UV,Burkina Faso,7609.4,9,845.4888888888888
410,1956,KR,Kiribati,827.4000000000005,2,413.7000000000003
411,2014,CG,Congo (Kinshasa),666.3000000000001,6,111.05000000000001
412,1981,MR,Mauritania,913.6,11,83.05454545454546
413,1941,VQ,Virgin Islands [United States],1609.5999999999995,2,804.7999999999997
414,1957,VM,Vietnam,1497.9,3,499.3
415,1954,CB,Cambodia,1167.0999999999997,1,1167.0999999999997
416,2004,BM,Burma,0.0,3,0.0
417,2018,CT,Central African Republic,3966.6999999999994,3,1322.2333333333331
418,1998,CD,Chad,741.4,5,148.28
419,1967,KN,"Korea, North",2927.6000000000004,7,418.22857142857146
420,1888,AJ,Azerbaijan,608.4999999999999,2,304.24999999999994
421,2003,CS,Costa Rica,3670.7999999999993,4,917.6999999999998
422,2008,BC,Botswana,2952.5999999999995,6,492.0999999999999
423,2008,AJ,Azerbaijan,1394.3,9,154.92222222222222
424,2011,SZ,Switzerland,9203.9,8,1150.4875
425,2011,GA,"Gambia, The",695.8000000000001,1,695.8000000000001
426,2012,CS,Costa Rica,5021.699999999997,3,1673.899999999999
427,1984,NI,Nigeria,4.1,1,4.1
428,1949,RM,Marshall Islands,3286.2999999999975,2,1643.1499999999987
429,1951,MO,Morocco,1023.0,6,170.5
430,1912,EG,Egypt,231.2,6,38.53333333333333
431,1855,UK,United Kingdom,1188.8000000000002,2,594.4000000000001
432,2014,BA,Bahrain,28.4,1,28.4
433,1954,GL,Greenland [Denmark],2611.5,7,373.07142857142856
434,1989,MZ,Mozambique,11272.400000000001,14,805.1714285714287
435,1998,AJ,Azerbaijan,6.3999999999999995,2,3.1999999999999997
436,1987,NS,Suriname,1265.4999999999998,1,1265.4999999999998
437,1931,SI,Slovenia,1526.099999999999,1,1526.099999999999
438,1967,ER,Eritrea,756.6000000000001,2,378.30000000000007
439,1890,HR,Croatia,2899.9999999999995,3,966.6666666666665
440,1878,FR,France,1152.0,1,1152.0
441,1981,RW,Rwanda,7.9,1,7.9
442,1961,PS,Palau,10475.500000000007,3,3491.8333333333358
443,1972,LO,Slovakia,2786.3,4,696.575
444,2012,NF,Norfolk Island [Australia],96.3,1,96.3
445,2018,FS,French Southern and Antarctic Lands [France],1352.9999999999995,2,676.4999999999998
446,2004,RE,Reunion [France],1389.1999999999998,1,1389.1999999999998
447,2024,EG,Egypt,60.2,6,10.033333333333333
448,1934,MI,Malawi,3562.199999999998,3,1187.3999999999994
449,2009,MF,Mayotte [France],1175.2999999999995,1,1175.2999999999995
450,1844,SW,Sweden,650.0,1,650.0
451,1974,RW,Rwanda,0.0,1,0.0
452,1923,AM,Armenia,738.5999999999999,3,246.19999999999996
453,1896,CY,Cyprus,323.70000000000016,1,323.70000000000016
454,2006,JN,Jan Mayen [Norway],744.4999999999999,1,744.4999999999999
455,2022,GV,Guinea,6891.000000000003,8,861.3750000000003
456,1966,LY,Libya,974.9000000000001,4,243.72500000000002
457,2015,WF,Wallis and Futuna [France],5243.699999999999,2,2621.8499999999995
458,1979,LA,Laos,2.0,1,2.0
459,1960,FG,French Guiana [France],3868.0,1,3868.0
460,1914,WZ,Swaziland,2241.599999999999,3,747.1999999999997
461,1986,HU,Hungary,3634.5,10,363.45
462,1994,AM,Armenia,952.0000000000002,3,317.3333333333334
463,1994,NI,Nigeria,4.1,1,4.1
464,1985,TV,Tuvalu,3850.2999999999975,2,1925.1499999999987
465,1967,AQ,American Samoa [United States],18283.4,5,3656.6800000000003
466,1891,BO,Belarus,2169.2000000000003,4,542.3000000000001
467,1984,BM,Burma,96.30000000000001,3,32.1
468,1982,UC,Curacao,1053.399999999999,1,1053.399999999999
469,1878,EZ,Czech Republic,382.7999999999999,1,382.7999999999999
470,2007,SE,Seychelles,2028.0999999999988,1,2028.0999999999988
471,1915,KG,Kyrgyzstan,1210.3999999999999,3,403.46666666666664
472,1914,BC,Botswana,847.0999999999999,2,423.54999999999995
